Rank,Title,Link,Img Link,All topics,Breaking news,Free Speech Week,Protest coverage,Sexual misconduct,Opinion
1,An open letter to Milo Yiannopoulos,http://www.dailycal.org/2017/01/17/open-letter-milo-yiannopoulos/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/01/Coloredited_WillowYang_Fight-900x580.jpg,y,,,,,y
2,Violence as self-defense,http://www.dailycal.org/2017/02/07/violence-self-defense/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/02/coloredited_IsabelleDoerschlag_opinionspread-900x580.jpg,y,,,,,y
3,"Demonstrators gather on Sproul Plaza, in Martin Luther King Jr. Civic Center Park for Ann Coulter protest",http://www.dailycal.org/2017/04/27/demonstrators-gather-sproul-plaza-civic-center-park-ann-coulter-protest/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/04/Coulterprotest_danielkim_ss-900x580.jpg,y,y,,y,,
4,Renowned UC Berkeley philosophy professor emeritus accused of sex assault,http://www.dailycal.org/2017/03/23/renowned-uc-berkeley-philosophy-professor-emeritus-accused-sex-assault/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/03/Coloredited_Hannahcooper_Searle-900x580.png,y,,,,y,
5,Full speaker list released for ‘Free Speech Week’ at UC Berkeley,http://www.dailycal.org/2017/09/14/full-speaker-list-released-free-speech-week-uc-berkeley/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/09/bannon_gageskidmore_creativecommons-copy-900x580.jpg,y,,y,,,
6,UC Berkeley faculty members call for boycott of classes during ‘Free Speech Week’,http://www.dailycal.org/2017/09/13/uc-berkeley-faculty-members-call-boycott-classes-free-speech-week/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/04/milo_Official_Leweb_photos_creative_commons-900x580.jpg,y,,y,,,
7,"Petition to remove UCPD officer receives more than 21,000 signatures",http://www.dailycal.org/2017/09/10/petition-to-remove-ucpd-officer-receives-over-5000-signatures/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/09/hotdog_martinfloresfacebook_courtesy-290x450.png,y,,,,,
8,UC Berkeley releases 2017-18 admissions data,http://www.dailycal.org/2017/07/06/uc-berkeley-releases-2017-18-admissions-data/,http://i1.wp.com/www.dailycal.org/assets/uploads/2016/07/Admissions_ZainabAli.jpg,y,,,,,
9,Best places to see Fourth of July fireworks in the Bay Area,http://www.dailycal.org/2017/07/04/best-places-see-fourth-july-fireworks-bay-area/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/01/fireworks-2.ZHOU_.jpg,y,,,,,
10,UC Berkeley students harassed after Milo Yiannopoulos publicly identifies them,http://www.dailycal.org/2017/09/21/uc-berkeley-students-harassed-after-milo-yiannopoulos-publicly-identifies-them/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/09/calserve_mraphael_courtesy-copy-900x580.jpg,y,,y,,,
11,Berkeley College Republicans president impeached by secretary amid power struggle,http://www.dailycal.org/2017/10/12/berkeley-college-republicans-president-allegedly-impeached-by-secretary-amid-power-struggle/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/10/harassment_Jasmanyflores_file-900x580.jpg,y,y,,,,
